,Emmaton,Jersey Point,Collinsville,Rock Slough,Antioch,Mallard,LosVaqueros,Martinez,MiddleRiver,Vict Intake,CVP Intake,CCFB_OldR
1940-01-01,1490.9608154296875,2636.42919921875,6855.8876953125,1348.7254638671875,5336.931640625,11482.44140625,953.8106079101562,22165.5703125,708.0089721679688,704.6184692382812,696.660888671875,699.9521484375
1940-01-02,881.3255004882812,2323.91748046875,5164.896484375,1348.4254150390625,4634.953125,9365.798828125,988.6082153320312,20582.205078125,724.0439453125,724.0184326171875,697.208984375,697.692138671875
1940-01-03,532.806884765625,1892.5731201171875,3233.66162109375,1330.987548828125,3438.35205078125,6563.8857421875,1006.564453125,19354.095703125,741.2332763671875,744.4940795898438,699.8363037109375,740.6613159179688
1940-01-04,443.08038330078125,1769.03564453125,2453.143798828125,1300.0811767578125,2838.610595703125,5207.2421875,1015.5855712890625,18203.6484375,746.27099609375,766.6632080078125,779.9454345703125,813.56982421875
1940-01-05,390.4444885253906,1428.851806640625,1644.7818603515625,1255.95361328125,2198.4365234375,3335.94482421875,1010.5177612304688,17104.65234375,749.8656005859375,785.7200317382812,810.8831176757812,832.6552124023438
1940-01-06,372.1026916503906,1270.867431640625,1342.3243408203125,1202.6602783203125,1707.33935546875,2528.17578125,996.5584106445312,15962.078125,749.442138671875,789.450439453125,822.0867919921875,841.4266357421875
1940-01-07,378.2039489746094,1204.1910400390625,1228.58642578125,1138.203369140625,1344.6336669921875,2242.9765625,970.2955932617188,15714.333984375,742.3056640625,779.0447998046875,823.824951171875,844.1953735351562
1940-01-08,346.7518310546875,1098.315185546875,987.2881469726562,1074.115966796875,1110.7869873046875,1849.4603271484375,935.4805908203125,13788.001953125,737.1145629882812,772.1658325195312,807.1841430664062,814.5120239257812
1940-01-09,317.0320739746094,928.6829223632812,756.673583984375,1026.995361328125,967.27587890625,1208.705322265625,913.2841796875,11963.896484375,744.4908447265625,789.47509765625,793.6278076171875,798.5368041992188
1940-01-10,305.8114318847656,835.1732788085938,679.3977661132812,989.1458129882812,804.9556884765625,930.2449340820312,898.4222412109375,10612.1943359375,747.7732543945312,801.1398315429688,799.8701782226562,803.5289916992188
1940-01-11,287.6316833496094,751.6339721679688,569.26513671875,948.5556640625,718.4019775390625,722.5279541015625,883.8040161132812,8797.0146484375,751.1710815429688,812.2230834960938,809.2655639648438,801.7985229492188
1940-01-12,273.9814453125,682.0127563476562,501.3603820800781,917.9666748046875,645.7529296875,558.4386596679688,873.6592407226562,6893.8857421875,756.6495361328125,821.3489379882812,811.7778930664062,800.7789916992188
1940-01-13,263.5316467285156,636.3442993164062,464.2362976074219,890.3407592773438,567.515869140625,481.0599365234375,853.074951171875,5801.33251953125,753.5367431640625,806.9597778320312,804.350341796875,799.2340087890625
1940-01-14,247.37387084960938,601.2796630859375,410.0355529785156,851.80419921875,526.198486328125,437.1352844238281,812.1489868164062,4854.71826171875,737.1438598632812,771.853759765625,784.2740478515625,780.3441772460938
1940-01-15,230.00389099121094,570.8668823242188,364.0030822753906,806.9144287109375,501.693603515625,396.3648986816406,763.790283203125,4217.62255859375,720.0436401367188,741.4154052734375,756.9456176757812,752.473876953125
1940-01-16,216.30003356933594,545.1725463867188,326.3873596191406,757.6580200195312,481.7149353027344,363.24761962890625,715.3408203125,3957.27490234375,701.90185546875,716.4757080078125,729.441650390625,726.170654296875
1940-01-17,209.785888671875,522.948486328125,294.9209289550781,707.416015625,464.3819274902344,335.5202331542969,671.9796142578125,4058.227294921875,684.8673095703125,697.6421508789062,705.338623046875,700.582763671875
1940-01-18,209.479614257812,506.00665283203125,277.98004150390625,661.3152465820312,447.253173828125,317.5928649902344,636.9714965820312,4444.46484375,669.7864990234375,682.4334716796875,682.6119995117188,679.275390625
1940-01-19,210.44224548339844,483.78973388671875,273.76611328125,621.8817749023438,431.79107666015625,297.5401916503906,603.6822509765625,4971.14306640625,654.9534912109375,668.0318603515625,670.7368774414062,659.8748779296875
1940-01-20,211.13841247558594,463.87127685546875,278.4787292480469,588.1657104492188,409.6455993652344,293.88055419921875,576.8963623046875,5858.18115234375,640.0086669921875,652.8746948242188,660.0236206054688,644.7012329101562
1940-01-21,211.35235595703125,446.7168273925781,277.7066345214844,557.7473754882812,380.6560363769531,302.52154541015625,551.9168090820312,6509.0869140625,625.1688232421875,637.5306396484375,649.3589477539062,630.4935302734375
1940-01-22,211.88479614257812,430.67156982421875,275.7961120605469,530.2027587890625,351.5303955078125,318.71063232421875,531.837646484375,6797.05712890625,610.2283325195312,622.8050537109375,639.8483276367188,619.1087036132812
1940-01-23,212.32455444335938,415.8297119140625,276.27008056640625,502.167724609375,325.14532470703125,347.8529357910156,512.5401611328125,6962.9267578125,595.1317138671875,607.9359741210938,629.4730834960938,609.103271484375
1940-01-24,209.13478088378906,392.7413635253906,266.4998474121094,481.7303466796875,317.8546142578125,326.9556884765625,504.3066101074219,6475.5341796875,582.4035034179688,596.9306640625,626.7679443359375,607.6382446289062
1940-01-25,208.7944793701172,378.63916015625,269.8750305175781,462.7973937988281,301.5887451171875,340.18597412109375,494.24761962890625,5959.46826171875,573.1577758789062,591.4732666015625,624.6939697265625,605.5408935546875
1940-01-26,205.6893768310547,359.8660888671875,252.4927978515625,449.9529724121094,299.94268798828125,302.6968688964844,498.7561950683594,4772.03466796875,573.9276733398438,603.50244140625,634.60498046875,619.8046264648438
1940-01-27,207.43826293945312,342.5475769042969,250.7225341796875,448.8469543457031,298.64300537109375,270.9991760253906,521.0932006835938,4615.2900390625,583.2061767578125,626.7901000976562,660.6896362304688,641.1761474609375
1940-01-28,207.93893432617188,333.68243408203125,248.85598754882812,444.6377258300781,290.9848327636719,264.2397155761719,518.090087890625,3834.48388671875,583.8972778320312,626.4202270507812,669.84716796875,643.968017578125
1940-01-29,207.39952087402344,326.66534423828125,244.8449249267578,436.5391540527344,285.0928955078125,259.7882995605469,507.7790832519531,3557.89208984375,583.940673828125,619.45458984375,670.2177124023438,642.98486328125
1940-01-30,205.3153533935547,320.30621337890625,240.66781616210938,423.2839050292969,279.3663024902344,259.4750671386719,491.2586364746094,3577.511962890625,578.5590209960938,604.0540161132812,659.8303833007812,637.8402709960938
1940-01-31,199.24673461914062,311.9751281738281,233.1889190673828,406.7045593261719,276.7347717285156,251.40725708007812,470.5436706542969,3556.296630859375,563.757080078125,586.0060424804688,637.8263549804688,616.2937622070312
1940-02-01,191.65101623535156,303.3064270019531,222.20289611816406,391.192626953125,273.8451843261719,239.31581115722656,466.9344482421875,3384.62158203125,563.7413330078125,587.5693359375,613.6911010742188,594.6385498046875
1940-02-02,186.39700317382812,293.6265563964844,210.4272003173828,378.6304626464844,274.0058898925781,221.9112091064453,470.0270690917969,2772.517333984375,567.4213256835938,602.0602416992188,611.2344970703125,592.5419921875
1940-02-03,186.54408264160156,288.2391662597656,209.07693481445312,364.9904479980469,263.4363708496094,216.56491088867188,463.0665588378906,2664.823486328125,570.2341918945312,601.8688354492188,611.284423828125,588.3849487304688
1940-02-04,187.01373291015625,277.4588928222656,205.7464141845703,360.0075378417969,267.9444274902344,211.7637939453125,482.8408203125,2470.988037109375,580.3741455078125,628.1232299804688,632.5505981445312,605.470947265625
1940-02-05,186.49143981933594,271.9718933105469,208.1979522705078,357.6036376953125,262.5098876953125,212.0757293701172,494.3813781738281,2200.5859375,583.5291137695312,639.1954956054688,639.146728515625,617.388916015625
1940-02-06,185.5576934814453,267.4521484375,205.2864227294922,352.05120849609375,255.72412109375,211.3952178955078,490.64862060546875,1971.9761962890625,583.754150390625,634.1915283203125,639.0117797851562,616.109375
1940-02-07,184.9845733642578,261.7975158691406,200.93673706054688,348.41192626953125,259.694091796875,209.3862762451172,495.90264892578125,1599.039794921875,587.533447265625,640.3189086914062,642.41845703125,619.0311279296875
